logFC	PValue	gene	cko	con
0.1475612111734552	0.7209386961668076	Chmp1a	2895	3443
-0.10642456907166878	0.7972588005833109	Rpa1	2597	2590
1.1044329965416135	0.1832392186975093	Serpinf1	6	14
-0.09001164158735168	0.8288995981595854	Tubgcp3	1836	1852
0.7316890596317409	0.4809550380879096	Oprm1	5	9
-0.07938296620845968	0.8507728358144123	Polr3d	804	817
0.22422593931802895	0.632539610468887	Tcf7	114	143
0.1070966447263084	0.7944272140537303	Ddx3x	11471	13265
-0.4835540194480497	0.44500573701190393	Slc5a5	30	23
0.12950814105552985	0.7566347213664	Kcnn3	1169	1373
0.1325661787587614	0.7483509206236528	Usp32	2921	3438
0.08862954666460736	0.9999999999999976	Car4	7	8
0.24148101813249936	0.580491094513346	Txnrd3	271	344
-0.1589347383275715	0.6996475279342573	Zfp512b	5112	4916
0.090133680374475	0.8267098658337145	Dnajc5	6964	7959
-0.0671364585485084	0.8727589993433208	Tpd52l2	1530	1568
0.04357204654071976	0.916938275221345	Fmr1	2355	2606
-0.08698465253659501	0.8322867777773375	Bcl11a	19101	19308
-0.32853045034657435	0.45304089303563666	Pxmp4	255	218
0.06964895082439754	0.8667415722597536	Dlg3	2619	2951
-0.23990307919932471	0.596940809051968	Gnb1l	231	210
-0.07080531738181099	0.8742283988325278	Mmp11	405	414
-0.03128654447587681	0.9398625938880436	Smarcb1	5116	5375
0.05682625381811396	0.8918199328054466	Hip1r	1935	2161
0.08199134135830359	0.8528996427802145	Nsun5	469	533
0.07429980453238648	0.8798060745177141	Top1mt	207	234
0.3107947620257994	0.45908355329328865	Gm38393	654	871
-0.1731826245512462	0.6759238006003886	Mmp14	2155	2052
-0.04356802447354479	0.9341061044881148	Slc7a7	72	75
0.07357058806660546	0.8599770400845067	Oxa1l	1810	2045
-0.1252483876539106	0.7627293506748329	Heatr6	2112	2079
0.23313389699013445	0.8240552815896673	Ccl3	19	24
0.06841308151556956	0.8681097371357985	Ilf2	7035	7920
-0.03735429980092382	0.9279446773991864	Chtop	6924	7244
-0.06744051545580892	0.8749849036243998	Snapin	650	666
1.2400002771347485	0.08622768579470086	S100a6	9	23
-0.1022851870324585	0.8654085134828681	Icam2	51	51
-0.009939964088708	0.9815400443389116	Mapk7	3334	3555
0.01358034874534878	0.9749185329395188	Epn2	2255	2444
-0.19815065794315403	0.6456573879655246	B9d1	374	350
-0.0696855426214751	0.8667736399973295	Sec24b	2562	2621
-0.1859096191513851	0.690572134837178	N4bp3	160	151
0.02906562417071356	0.9452387129147078	Rmnd5b	869	952
-0.1321136287132851	0.7531375979034817	Nhp2	985	965
-0.07347954592678539	0.8615418592982735	Vps9d1	1180	1204
0.00770862772078854	0.9878099288516952	Zfp276	1020	1101
-0.13200603848807446	0.7576372801771637	Mfsd10	494	484
-0.05014907093676802	0.9047853963107996	Luzp1	1839	1907
0.10628832922866724	0.798181007631836	Kctd10	1817	2100
-0.02337391876984391	0.9556268224633552	Poldip2	3014	3184
-0.9619379864729612	0.4034271905497289	Sebox	11	6
0.0941626210954657	0.8276525159183808	Ift20	486	557
-1.4052201235829438	0.1392603053158636	Col6a1	15	6
-0.16054344136080193	0.7039832137232448	Pcbp3	837	804
0.33500413183812683	0.502261907394487	Lgals9	62	84
-0.0195166911837556	0.9640237246121062	Araf	1587	1681
-0.1869956554757834	0.6870254640964792	Cfp	158	149
-0.9619379864729612	0.4034271905497289	Timp1	11	6
-0.0063167053640265	0.9999999999999998	Uxt	203	217
-0.08888832189853758	0.8314389642403306	Cnnm3	1579	1594
-0.01572972099899976	0.9713752641798716	Lman2l	1548	1644
0.0213277427573572	0.9593897815594246	Mcm3ap	3681	4011
-0.24540073377008065	0.5527416142236735	Pcnt	2609	2363
-0.04709106115206989	0.911107083228464	Mxd1	1506	1565
0.08415318791507526	0.8402883440607902	Gmcl1	1549	1763
-0.00358831154745818	0.9934565444295028	Snrnp27	817	875
0.36921522136487783	0.6562703182360462	Oas1c	18	25
-0.0394176937920196	0.9262145717864108	Ocrl	1297	1355
0.06430925742806724	0.8756578297421175	Calm1	15685	17608
0.02432673780993663	0.9536469705807072	Agpat3	3427	3742
0.09455380012951424	0.8206773930619526	Sema6b	1537	1762
-0.1967325337321741	0.6332021241496746	Uhrf1	4224	3957
-0.00436355996061072	0.9927434861311298	Dpp9	2258	2417
0.1059824032040838	0.8243742191486857	Ramp2	180	208
-0.46026430687472064	0.2835957911341281	Lsr	396	309
